body,count
SUBN,3466019
4DSD,2992093
VAN,1518294
DELV,755274
SDN,424043
2DSD,276455
PICK,264271
REFG,84019
TRAC,73545
UTIL,70009
TAXI,63613
4 DR,54965
BUS,48933
CONV,46277
TK,39131
WAGO,35319
4D,34482
TRLR,33008
MCY,31685
P-U,23649
SW,21293
4S,16588
FLAT,14520
TRAI,12940
T/CR,11501
UT,11362
DUMP,11021
TR/C,8487
TRK,6622
4W,6334
TRUC,6169
VN,6148
STAK,5343
MP,5218
SU,4749
TR,4563
TOW,4508
2 DR,4237
TRL,4232
SEMI,4202
PKUP,4035
SEDN,3979
SD,3910
FOUR,3814
CP,3351
BOAT,3006
SEDA,2921
BS,2548
SWT,2500
MOTO,2328
TANK,1780
2D,1726
SV,1518
PK,1505
4H,1454
4 DO,1343
LIM,1327
4D S,1298
MC,1251
LL,1175
I,1042
TRT,1040
