make,count
FORD,1324763
TOYOT,1154783
HONDA,1014073
NISSA,834832
CHEVR,759659
FRUEH,423583
ME/BE,362575
DODGE,359201
BMW,353301
JEEP,302510
INTER,285073
GMC,282249
HYUND,266087
LEXUS,238846
ACURA,193039
CHRYS,186158
VOLKS,183601
INFIN,158301
NS/OT,136078
SUBAR,130597
ISUZU,123733
AUDI,123702
MITSU,108494
MAZDA,104430
LINCO,103822
HINO,99459
KIA,98040
CADIL,85540
MERCU,77175
VOLVO,76708
ROVER,60906
WORKH,44654
KENWO,43845
BUICK,39685
PETER,37505
MACK,26999
PONTI,24083
MINI,23533
PORSC,22454
SATUR,22168
SMART,18953
JAGUA,14317
UD,14107
WORK,13606
FIAT,13228
SAAB,11581
UTIL,10999
MI/F,10141
SUZUK,9816
STERL,8811
VANHO,7318
OLDSM,6827
SCION,6133
VESPA,5610
MASSA,5195
MCI,5130
PLYMO,4897
KAWAS,4678
HUMME,4654
YAMAH,4247
HARLE,3810
UPS,3205
TRAIL,2703
IC,2132
TRIUM,1996
KW,1972
SPRI,1891
FERRA,1887
FONTA,1869
GEO,1845
BENTL,1618
THOMA,1615
PREVO,1594
NAVIS,1548
GREAT,1449
DUCAT,1388
WO/C,1371
VPG,1258
SMITH,1227
CHECK,1132
